rownames,year,species,species_latin,count,hours,count_per_hour,count_per_week,species_binary
7943,1963,Tufted Titmouse,Baeolophus bicolor,8,213.0,0.0375586854460093,6.309859154929578,American Crow
7944,1963,Tundra Swan,Cygnus columbianus,0,213.0,0.0,0.0,American Crow
7945,1963,Turkey Vulture,Cathartes aura,0,213.0,0.0,0.0,American Crow
7946,1963,Varied Thrush,Ixoreus naevius,0,213.0,0.0,0.0,American Crow
7947,1963,Vesper Sparrow,Pooecetes gramineus,0,213.0,0.0,0.0,American Crow
7948,1963,White-breasted Nuthatch,Sitta carolinensis,180,213.0,0.8450704225352113,141.9718309859155,American Crow
7949,1963,White-crowned Sparrow,Zonotrichia leucophrys,16,213.0,0.0751173708920187,12.619718309859156,American Crow
7950,1963,White-throated Sparrow,Zonotrichia albicollis,9,213.0,0.0422535211267605,7.098591549295774,American Crow
7951,1963,White-winged Crossbill,Loxia leucoptera,220,213.0,1.0328638497652582,173.5211267605634,American Crow
7952,1963,White-winged Scoter,Melanitta fusca,62,213.0,0.2910798122065727,48.90140845070422,American Crow
7953,1963,Whooper Swan,Cygnus cygnus,0,213.0,0.0,0.0,American Crow
7954,1963,Wild Turkey,Meleagris gallopavo,0,213.0,0.0,0.0,American Crow
7955,1963,Wilson's Warbler,Cardellina pusilla,0,213.0,0.0,0.0,American Crow
7956,1963,Winter Wren,Troglodytes hiemalis,23,213.0,0.107981220657277,18.140845070422536,American Crow
7957,1963,Wood Duck,Aix sponsa,0,213.0,0.0,0.0,American Crow
7958,1963,Yellow-bellied Sapsucker,Sphyrapicus varius,2,213.0,0.0093896713615023,1.5774647887323945,American Crow
7959,1963,Yellow-breasted Chat,Icteria virens,0,213.0,0.0,0.0,American Crow
7960,1963,Yellow-rumped Warbler,Setophaga coronata,1,213.0,0.0046948356807511,0.7887323943661972,American Crow
7961,1964,American Bittern,Botaurus lentiginosus,0,204.0,0.0,0.0,American Crow
7962,1964,American Black Duck,Anas rubripes,380,204.0,1.862745098039216,312.94117647058823,American Crow
7963,1964,American Coot,Fulica americana,10,204.0,0.0490196078431372,8.235294117647058,American Coot
7964,1964,American Crow,Corvus brachyrhynchos,1800,204.0,8.823529411764707,1482.3529411764707,American Crow
7965,1964,American Goldfinch,Spinus tristis,300,204.0,1.4705882352941178,247.05882352941177,American Crow
7966,1964,American Kestrel,Falco sparverius,33,204.0,0.1617647058823529,27.176470588235293,American Crow
7967,1964,American Pipit,Anthus rubescens,1,204.0,0.0049019607843137,0.823529411764706,American Crow
7968,1964,American Robin,Turdus migratorius,10,204.0,0.0490196078431372,8.235294117647058,American Crow
7969,1964,American Three-toed Woodpecker,Picoides dorsalis,0,204.0,0.0,0.0,American Crow
7970,1964,American Tree Sparrow,Spizelloides arborea,970,204.0,4.754901960784314,798.8235294117646,American Crow
7971,1964,American Wigeon,Anas americana,0,204.0,0.0,0.0,American Crow
7972,1964,American Woodcock,Scolopax minor,0,204.0,0.0,0.0,American Crow
7973,1964,Bald Eagle,Haliaeetus leucocephalus,1,204.0,0.0049019607843137,0.823529411764706,American Crow
7974,1964,Baltimore Oriole,Icterus galbula,0,204.0,0.0,0.0,American Crow
7975,1964,Barn Owl,Tyto alba,0,204.0,0.0,0.0,American Crow
7976,1964,Barn Swallow,Hirundo rustica,0,204.0,0.0,0.0,American Crow
7977,1964,Barred Owl,Strix varia,0,204.0,0.0,0.0,American Crow
7978,1964,Barrow's Goldeneye,Bucephala islandica,0,204.0,0.0,0.0,American Crow
7979,1964,Belted Kingfisher,Megaceryle alcyon,5,204.0,0.0245098039215686,4.117647058823529,American Crow
7980,1964,Black-and-white Warbler,Mniotilta varia,0,204.0,0.0,0.0,American Crow
7981,1964,Black-backed Woodpecker,Picoides arcticus,2,204.0,0.0098039215686274,1.647058823529412,American Crow
7982,1964,Black-capped Chickadee,Poecile atricapillus,660,204.0,3.235294117647059,543.5294117647059,American Crow
7983,1964,Black-crowned Night-Heron,Nycticorax nycticorax,0,204.0,0.0,0.0,American Crow
7984,1964,Black-headed Grosbeak,Pheucticus melanocephalus,0,204.0,0.0,0.0,American Crow
7985,1964,Black-legged Kittiwake,Rissa tridactyla,0,204.0,0.0,0.0,American Crow
7986,1964,Black-throated Gray Warbler,Setophaga nigrescens,0,204.0,0.0,0.0,American Crow
7987,1964,Black Scoter,Melanitta americana,0,204.0,0.0,0.0,American Crow
7988,1964,Black Vulture,Coragyps atratus,0,204.0,0.0,0.0,American Crow
7989,1964,Blue-gray Gnatcatcher,Polioptila caerulea,0,204.0,0.0,0.0,American Crow
7990,1964,Blue-winged Teal,Anas discors,0,204.0,0.0,0.0,American Crow
7991,1964,Blue Jay,Cyanocitta cristata,230,204.0,1.1274509803921569,189.4117647058824,American Crow
7992,1964,Bohemian Waxwing,Bombycilla garrulus,0,204.0,0.0,0.0,American Crow
7993,1964,Bonaparte's Gull,Chroicocephalus philadelphia,0,204.0,0.0,0.0,American Crow
7994,1964,Boreal Chickadee,Poecile hudsonicus,0,204.0,0.0,0.0,American Crow
7995,1964,Boreal Owl,Aegolius funereus,0,204.0,0.0,0.0,American Crow
7996,1964,Brant,Branta bernicla,0,204.0,0.0,0.0,American Crow
7997,1964,Brown-headed Cowbird,Molothrus ater,15,204.0,0.0735294117647058,12.35294117647059,American Crow
7998,1964,Brown Creeper,Certhia americana,26,204.0,0.1274509803921568,21.41176470588235,American Crow
7999,1964,Brown Thrasher,Toxostoma rufum,0,204.0,0.0,0.0,American Crow
8000,1964,Bufflehead,Bucephala albeola,54,204.0,0.2647058823529412,44.47058823529412,American Crow
8001,1964,Cackling Goose,Branta hutchinsii,0,204.0,0.0,0.0,American Crow
8002,1964,Canada Goose,Branta canadensis,11,204.0,0.0539215686274509,9.058823529411764,American Crow
8003,1964,Canvasback,Aythya valisineria,11,204.0,0.0539215686274509,9.058823529411764,American Crow
8004,1964,Carolina Wren,Thryothorus ludovicianus,0,204.0,0.0,0.0,American Crow
8005,1964,Caspian Tern,Hydroprogne caspia,0,204.0,0.0,0.0,American Crow
8006,1964,Cedar Waxwing,Bombycilla cedrorum,28,204.0,0.1372549019607843,23.058823529411768,American Crow
8007,1964,Chipping Sparrow,Spizella passerina,0,204.0,0.0,0.0,American Crow
8008,1964,Common Eider,Somateria mollissima,0,204.0,0.0,0.0,American Crow
8009,1964,Common Gallinule,Gallinula galeata,0,204.0,0.0,0.0,American Crow
8010,1964,Common Goldeneye,Bucephala clangula,100,204.0,0.4901960784313725,82.35294117647058,American Crow
8011,1964,Common Grackle,Quiscalus quiscula,10,204.0,0.0490196078431372,8.235294117647058,American Crow
8012,1964,Common Loon,Gavia immer,0,204.0,0.0,0.0,American Crow
8013,1964,Common Merganser,Mergus merganser,5100,204.0,25.0,4200.0,American Crow
8014,1964,Common Raven,Corvus corax,0,204.0,0.0,0.0,American Crow
8015,1964,Common Redpoll,Acanthis flammea,9,204.0,0.0441176470588235,7.411764705882353,American Crow
8016,1964,Common Snipe,Gallinago gallinago,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8017,1964,Common Yellowthroat,Geothlypis trichas,0,204.0,0.0,0.0,American Crow
8018,1964,Cooper's Hawk,Accipiter cooperii,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8019,1964,Dark-eyed Junco,Junco hyemalis,914,204.0,4.480392156862745,752.7058823529412,American Crow
8020,1964,Double-crested Cormorant,Phalacrocorax auritus,0,204.0,0.0,0.0,American Crow
8021,1964,Downy Woodpecker,Picoides pubescens,120,204.0,0.5882352941176471,98.82352941176472,American Crow
8022,1964,Dunlin,Calidris alpina,0,204.0,0.0,0.0,American Crow
8023,1964,Eared Grebe,Podiceps nigricollis,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8024,1964,Eastern Bluebird,Sialia sialis,0,204.0,0.0,0.0,American Crow
8025,1964,Eastern Meadowlark,Sturnella magna,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8026,1964,Eastern Phoebe,Sayornis phoebe,0,204.0,0.0,0.0,American Crow
8027,1964,Eastern Screech-Owl,Megascops asio,0,204.0,0.0,0.0,American Crow
8028,1964,Eastern Towhee,Pipilo erythrophthalmus,0,204.0,0.0,0.0,American Crow
8029,1964,European Starling,Sturnus vulgaris,4200,204.0,20.58823529411765,3458.823529411765,American Crow
8030,1964,Evening Grosbeak,Coccothraustes vespertinus,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8031,1964,Field Sparrow,Spizella pusilla,11,204.0,0.0539215686274509,9.058823529411764,American Crow
8032,1964,Fox Sparrow,Passerella iliaca,0,204.0,0.0,0.0,American Crow
8033,1964,Franklin's Gull,Leucophaeus pipixcan,0,204.0,0.0,0.0,American Crow
8034,1964,Gadwall,Anas strepera,0,204.0,0.0,0.0,American Crow
8035,1964,Glaucous Gull,Larus hyperboreus,5,204.0,0.0245098039215686,4.117647058823529,American Crow
8036,1964,Golden-crowned Kinglet,Regulus satrapa,99,204.0,0.4852941176470588,81.52941176470588,American Crow
8037,1964,Golden Eagle,Aquila chrysaetos,0,204.0,0.0,0.0,American Crow
8038,1964,Gray Catbird,Dumetella carolinensis,0,204.0,0.0,0.0,American Crow
8039,1964,Gray Jay,Perisoreus canadensis,0,204.0,0.0,0.0,American Crow
8040,1964,Gray Partridge,Perdix perdix,0,204.0,0.0,0.0,American Crow
8041,1964,Great Black-backed Gull,Larus marinus,100,204.0,0.4901960784313725,82.35294117647058,American Crow
8042,1964,Great Blue Heron,Ardea herodias,0,204.0,0.0,0.0,American Crow
8043,1964,Great Gray Owl,Strix nebulosa,0,204.0,0.0,0.0,American Crow
8044,1964,Great Horned Owl,Bubo virginianus,9,204.0,0.0441176470588235,7.411764705882353,American Crow
8045,1964,Greater Scaup,Aythya marila,30,204.0,0.1470588235294117,24.70588235294118,American Crow
8046,1964,Greater Yellowlegs,Tringa melanoleuca,0,204.0,0.0,0.0,American Crow
8047,1964,Green-winged Teal,Anas crecca,0,204.0,0.0,0.0,American Crow
8048,1964,Gyrfalcon,Falco rusticolus,0,204.0,0.0,0.0,American Crow
8049,1964,Hairy Woodpecker,Picoides villosus,36,204.0,0.1764705882352941,29.647058823529413,American Crow
8050,1964,Harlequin Duck,Histrionicus histrionicus,0,204.0,0.0,0.0,American Crow
8051,1964,Harris's Sparrow,Zonotrichia querula,0,204.0,0.0,0.0,American Crow
8052,1964,Hermit Thrush,Catharus guttatus,0,204.0,0.0,0.0,American Crow
8053,1964,Herring Gull,Larus argentatus,1600,204.0,7.84313725490196,1317.6470588235293,American Crow
8054,1964,Hoary Redpoll,Acanthis hornemanni,0,204.0,0.0,0.0,American Crow
8055,1964,Hooded Merganser,Lophodytes cucullatus,3,204.0,0.0147058823529411,2.4705882352941178,American Crow
8056,1964,Horned Grebe,Podiceps auritus,4,204.0,0.0196078431372549,3.294117647058824,American Crow
8057,1964,Horned Lark,Eremophila alpestris,0,204.0,0.0,0.0,American Crow
8058,1964,House Finch,Haemorhous mexicanus,0,204.0,0.0,0.0,American Crow
8059,1964,House Sparrow,Passer domesticus,3000,204.0,14.705882352941176,2470.5882352941176,American Crow
8060,1964,House Wren,Troglodytes aedon,0,204.0,0.0,0.0,American Crow
8061,1964,Iceland Gull,Larus glaucoides,3,204.0,0.0147058823529411,2.4705882352941178,American Crow
8062,1964,Killdeer,Charadrius vociferus,2,204.0,0.0098039215686274,1.647058823529412,American Crow
8063,1964,King Eider,Somateria spectabilis,0,204.0,0.0,0.0,American Crow
8064,1964,Lapland Longspur,Calcarius lapponicus,9,204.0,0.0441176470588235,7.411764705882353,American Crow
8065,1964,Least Sandpiper,Calidris minutilla,0,204.0,0.0,0.0,American Crow
8066,1964,Lesser Black-backed Gull,Larus fuscus,0,204.0,0.0,0.0,American Crow
8067,1964,Lesser Scaup,Aythya affinis,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8068,1964,Lesser Yellowlegs,Tringa flavipes,0,204.0,0.0,0.0,American Crow
8069,1964,Lincoln's Sparrow,Melospiza lincolnii,0,204.0,0.0,0.0,American Crow
8070,1964,Little Gull,Hydrocoloeus minutus,0,204.0,0.0,0.0,American Crow
8071,1964,Long-eared Owl,Asio otus,9,204.0,0.0441176470588235,7.411764705882353,American Crow
8072,1964,Long-tailed Duck,Clangula hyemalis,57,204.0,0.2794117647058823,46.94117647058824,American Crow
8073,1964,Mallard,Anas platyrhynchos,200,204.0,0.9803921568627452,164.70588235294116,American Crow
8074,1964,Marsh Wren,Cistothorus palustris,0,204.0,0.0,0.0,American Crow
8075,1964,Merlin,Falco columbarius,0,204.0,0.0,0.0,American Crow
8076,1964,Mourning Dove,Zenaida macroura,4,204.0,0.0196078431372549,3.294117647058824,American Crow
8077,1964,Mute Swan,Cygnus olor,3,204.0,0.0147058823529411,2.4705882352941178,American Crow
8078,1964,Nashville Warbler,Oreothlypis ruficapilla,0,204.0,0.0,0.0,American Crow
8079,1964,Northern Bobwhite,Colinus virginianus,0,204.0,0.0,0.0,American Crow
8080,1964,Northern Cardinal,Cardinalis cardinalis,150,204.0,0.7352941176470589,123.52941176470588,American Crow
8081,1964,Northern Flicker,Colaptes auratus,7,204.0,0.034313725490196,5.764705882352942,American Crow
8082,1964,Northern Gannet,Morus bassanus,0,204.0,0.0,0.0,American Crow
8083,1964,Northern Goshawk,Accipiter gentilis,0,204.0,0.0,0.0,American Crow
8084,1964,Northern Harrier,Circus cyaneus,9,204.0,0.0441176470588235,7.411764705882353,American Crow
8085,1964,Northern Hawk Owl,Surnia ulula,0,204.0,0.0,0.0,American Crow
8086,1964,Northern Mockingbird,Mimus polyglottos,0,204.0,0.0,0.0,American Crow
8087,1964,Northern Pintail,Anas acuta,6,204.0,0.0294117647058823,4.941176470588236,American Crow
8088,1964,Northern Saw-whet Owl,Aegolius acadicus,0,204.0,0.0,0.0,American Crow
8089,1964,Northern Shoveler,Anas clypeata,0,204.0,0.0,0.0,American Crow
8090,1964,Northern Shrike,Lanius excubitor,13,204.0,0.0637254901960784,10.705882352941176,American Crow
8091,1964,Orange-crowned Warbler,Oreothlypis celata,0,204.0,0.0,0.0,American Crow
8092,1964,Ovenbird,Seiurus aurocapilla,0,204.0,0.0,0.0,American Crow
8093,1964,Pacific Loon,Gavia pacifica,0,204.0,0.0,0.0,American Crow
8094,1964,Palm Warbler,Setophaga palmarum,0,204.0,0.0,0.0,American Crow
8095,1964,Peregrine Falcon,Falco peregrinus,0,204.0,0.0,0.0,American Crow
8096,1964,Pied-billed Grebe,Podilymbus podiceps,0,204.0,0.0,0.0,American Crow
8097,1964,Pileated Woodpecker,Dryocopus pileatus,4,204.0,0.0196078431372549,3.294117647058824,American Crow
8098,1964,Pine Grosbeak,Pinicola enucleator,0,204.0,0.0,0.0,American Crow
8099,1964,Pine Siskin,Spinus pinus,12,204.0,0.0588235294117647,9.882352941176473,American Crow
8100,1964,Pine Warbler,Setophaga pinus,0,204.0,0.0,0.0,American Crow
8101,1964,Pomarine Jaeger,Stercorarius pomarinus,0,204.0,0.0,0.0,American Crow
8102,1964,Purple Finch,Haemorhous purpureus,84,204.0,0.4117647058823529,69.17647058823529,American Crow
8103,1964,Purple Sandpiper,Calidris maritima,0,204.0,0.0,0.0,American Crow
8104,1964,Red-bellied Woodpecker,Melanerpes carolinus,0,204.0,0.0,0.0,American Crow
8105,1964,Red-breasted Merganser,Mergus serrator,36,204.0,0.1764705882352941,29.647058823529413,American Crow
8106,1964,Red-breasted Nuthatch,Sitta canadensis,5,204.0,0.0245098039215686,4.117647058823529,American Crow
8107,1964,Red-headed Woodpecker,Melanerpes erythrocephalus,0,204.0,0.0,0.0,American Crow
8108,1964,Red-necked Grebe,Podiceps grisegena,0,204.0,0.0,0.0,American Crow
8109,1964,Red-shouldered Hawk,Buteo lineatus,0,204.0,0.0,0.0,American Crow
8110,1964,Red-tailed Hawk,Buteo jamaicensis,100,204.0,0.4901960784313725,82.35294117647058,American Crow
8111,1964,Red-throated Loon,Gavia stellata,0,204.0,0.0,0.0,American Crow
8112,1964,Red-winged Blackbird,Agelaius phoeniceus,68,204.0,0.3333333333333333,55.99999999999999,American Crow
8113,1964,Red Crossbill,Loxia curvirostra,0,204.0,0.0,0.0,American Crow
8114,1964,Redhead,Aythya americana,10,204.0,0.0490196078431372,8.235294117647058,American Crow
8115,1964,Ring-billed Gull,Larus delawarensis,39,204.0,0.1911764705882352,32.11764705882353,American Crow
8116,1964,Ring-necked Duck,Aythya collaris,3,204.0,0.0147058823529411,2.4705882352941178,American Crow
8117,1964,Ring-necked Pheasant,Phasianus colchicus,83,204.0,0.4068627450980392,68.3529411764706,American Crow
8118,1964,Rock Pigeon,Columba livia,0,204.0,0.0,0.0,American Crow
8119,1964,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,204.0,0.0,0.0,American Crow
8120,1964,Rough-legged Hawk,Buteo lagopus,100,204.0,0.4901960784313725,82.35294117647058,American Crow
8121,1964,Ruby-crowned Kinglet,Regulus calendula,0,204.0,0.0,0.0,American Crow
8122,1964,Ruddy Duck,Oxyura jamaicensis,0,204.0,0.0,0.0,American Crow
8123,1964,Ruddy Turnstone,Arenaria interpres,0,204.0,0.0,0.0,American Crow
8124,1964,Ruffed Grouse,Bonasa umbellus,3,204.0,0.0147058823529411,2.4705882352941178,American Crow
8125,1964,Rusty Blackbird,Euphagus carolinus,0,204.0,0.0,0.0,American Crow
8126,1964,Sandhill Crane,Grus canadensis,0,204.0,0.0,0.0,American Crow
8127,1964,Savannah Sparrow,Passerculus sandwichensis,0,204.0,0.0,0.0,American Crow
8128,1964,Sharp-shinned Hawk,Accipiter striatus,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8129,1964,Short-eared Owl,Asio flammeus,6,204.0,0.0294117647058823,4.941176470588236,American Crow
8130,1964,Snow Bunting,Plectrophenax nivalis,0,204.0,0.0,0.0,American Crow
8131,1964,Snow Goose,Chen caerulescens,0,204.0,0.0,0.0,American Crow
8132,1964,Snowy Owl,Bubo scandiacus,5,204.0,0.0245098039215686,4.117647058823529,American Crow
8133,1964,Song Sparrow,Melospiza melodia,78,204.0,0.3823529411764705,64.23529411764706,American Crow
8134,1964,Spotted Sandpiper,Actitis macularius,0,204.0,0.0,0.0,American Crow
8135,1964,Surf Scoter,Melanitta perspicillata,0,204.0,0.0,0.0,American Crow
8136,1964,Swainson's Thrush,Catharus ustulatus,0,204.0,0.0,0.0,American Crow
8137,1964,Swamp Sparrow,Melospiza georgiana,13,204.0,0.0637254901960784,10.705882352941176,American Crow
8138,1964,Thayer's Gull,Larus thayeri,0,204.0,0.0,0.0,American Crow
8139,1964,Thick-billed Murre,Uria lomvia,0,204.0,0.0,0.0,American Crow
8140,1964,Trumpeter Swan,Cygnus buccinator,0,204.0,0.0,0.0,American Crow
8141,1964,Tufted Duck,Aythya fuligula,0,204.0,0.0,0.0,American Crow
8142,1964,Tufted Titmouse,Baeolophus bicolor,5,204.0,0.0245098039215686,4.117647058823529,American Crow
8143,1964,Tundra Swan,Cygnus columbianus,1,204.0,0.0049019607843137,0.823529411764706,American Crow
8144,1964,Turkey Vulture,Cathartes aura,0,204.0,0.0,0.0,American Crow
8145,1964,Varied Thrush,Ixoreus naevius,0,204.0,0.0,0.0,American Crow
8146,1964,Vesper Sparrow,Pooecetes gramineus,0,204.0,0.0,0.0,American Crow
8147,1964,White-breasted Nuthatch,Sitta carolinensis,100,204.0,0.4901960784313725,82.35294117647058,American Crow
8148,1964,White-crowned Sparrow,Zonotrichia leucophrys,0,204.0,0.0,0.0,American Crow
8149,1964,White-throated Sparrow,Zonotrichia albicollis,14,204.0,0.0686274509803921,11.529411764705884,American Crow
8150,1964,White-winged Crossbill,Loxia leucoptera,0,204.0,0.0,0.0,American Crow
8151,1964,White-winged Scoter,Melanitta fusca,64,204.0,0.3137254901960784,52.70588235294118,American Crow
8152,1964,Whooper Swan,Cygnus cygnus,0,204.0,0.0,0.0,American Crow
8153,1964,Wild Turkey,Meleagris gallopavo,0,204.0,0.0,0.0,American Crow
8154,1964,Wilson's Warbler,Cardellina pusilla,0,204.0,0.0,0.0,American Crow
8155,1964,Winter Wren,Troglodytes hiemalis,6,204.0,0.0294117647058823,4.941176470588236,American Crow
8156,1964,Wood Duck,Aix sponsa,0,204.0,0.0,0.0,American Crow
8157,1964,Yellow-bellied Sapsucker,Sphyrapicus varius,0,204.0,0.0,0.0,American Crow
8158,1964,Yellow-breasted Chat,Icteria virens,0,204.0,0.0,0.0,American Crow
8159,1964,Yellow-rumped Warbler,Setophaga coronata,0,204.0,0.0,0.0,American Crow
8160,1965,American Bittern,Botaurus lentiginosus,0,158.0,0.0,0.0,American Crow
8161,1965,American Black Duck,Anas rubripes,200,158.0,1.2658227848101269,212.6582278481013,American Crow
8162,1965,American Coot,Fulica americana,5,158.0,0.0316455696202531,5.316455696202532,American Coot
8163,1965,American Crow,Corvus brachyrhynchos,2400,158.0,15.189873417721518,2551.8987341772154,American Crow
8164,1965,American Goldfinch,Spinus tristis,350,158.0,2.2151898734177213,372.1518987341772,American Crow
8165,1965,American Kestrel,Falco sparverius,17,158.0,0.1075949367088607,18.075949367088608,American Crow
8166,1965,American Pipit,Anthus rubescens,0,158.0,0.0,0.0,American Crow
8167,1965,American Robin,Turdus migratorius,16,158.0,0.1012658227848101,17.0126582278481,American Crow
8168,1965,American Three-toed Woodpecker,Picoides dorsalis,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8169,1965,American Tree Sparrow,Spizelloides arborea,520,158.0,3.2911392405063293,552.9113924050633,American Crow
8170,1965,American Wigeon,Anas americana,0,158.0,0.0,0.0,American Crow
8171,1965,American Woodcock,Scolopax minor,0,158.0,0.0,0.0,American Crow
8172,1965,Bald Eagle,Haliaeetus leucocephalus,0,158.0,0.0,0.0,American Crow
8173,1965,Baltimore Oriole,Icterus galbula,0,158.0,0.0,0.0,American Crow
8174,1965,Barn Owl,Tyto alba,0,158.0,0.0,0.0,American Crow
8175,1965,Barn Swallow,Hirundo rustica,0,158.0,0.0,0.0,American Crow
8176,1965,Barred Owl,Strix varia,0,158.0,0.0,0.0,American Crow
8177,1965,Barrow's Goldeneye,Bucephala islandica,0,158.0,0.0,0.0,American Crow
8178,1965,Belted Kingfisher,Megaceryle alcyon,4,158.0,0.0253164556962025,4.253164556962025,American Crow
8179,1965,Black-and-white Warbler,Mniotilta varia,0,158.0,0.0,0.0,American Crow
8180,1965,Black-backed Woodpecker,Picoides arcticus,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8181,1965,Black-capped Chickadee,Poecile atricapillus,820,158.0,5.189873417721519,871.8987341772151,American Crow
8182,1965,Black-crowned Night-Heron,Nycticorax nycticorax,0,158.0,0.0,0.0,American Crow
8183,1965,Black-headed Grosbeak,Pheucticus melanocephalus,0,158.0,0.0,0.0,American Crow
8184,1965,Black-legged Kittiwake,Rissa tridactyla,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8185,1965,Black-throated Gray Warbler,Setophaga nigrescens,0,158.0,0.0,0.0,American Crow
8186,1965,Black Scoter,Melanitta americana,0,158.0,0.0,0.0,American Crow
8187,1965,Black Vulture,Coragyps atratus,0,158.0,0.0,0.0,American Crow
8188,1965,Blue-gray Gnatcatcher,Polioptila caerulea,0,158.0,0.0,0.0,American Crow
8189,1965,Blue-winged Teal,Anas discors,0,158.0,0.0,0.0,American Crow
8190,1965,Blue Jay,Cyanocitta cristata,200,158.0,1.2658227848101269,212.6582278481013,American Crow
8191,1965,Bohemian Waxwing,Bombycilla garrulus,0,158.0,0.0,0.0,American Crow
8192,1965,Bonaparte's Gull,Chroicocephalus philadelphia,0,158.0,0.0,0.0,American Crow
8193,1965,Boreal Chickadee,Poecile hudsonicus,0,158.0,0.0,0.0,American Crow
8194,1965,Boreal Owl,Aegolius funereus,0,158.0,0.0,0.0,American Crow
8195,1965,Brant,Branta bernicla,0,158.0,0.0,0.0,American Crow
8196,1965,Brown-headed Cowbird,Molothrus ater,3,158.0,0.0189873417721519,3.189873417721519,American Crow
8197,1965,Brown Creeper,Certhia americana,14,158.0,0.0886075949367088,14.886075949367088,American Crow
8198,1965,Brown Thrasher,Toxostoma rufum,2,158.0,0.0126582278481012,2.1265822784810124,American Crow
8199,1965,Bufflehead,Bucephala albeola,100,158.0,0.6329113924050633,106.32911392405065,American Crow
8200,1965,Cackling Goose,Branta hutchinsii,0,158.0,0.0,0.0,American Crow
8201,1965,Canada Goose,Branta canadensis,0,158.0,0.0,0.0,American Crow
8202,1965,Canvasback,Aythya valisineria,7,158.0,0.0443037974683544,7.443037974683544,American Crow
8203,1965,Carolina Wren,Thryothorus ludovicianus,0,158.0,0.0,0.0,American Crow
8204,1965,Caspian Tern,Hydroprogne caspia,0,158.0,0.0,0.0,American Crow
8205,1965,Cedar Waxwing,Bombycilla cedrorum,63,158.0,0.3987341772151899,66.98734177215191,American Crow
8206,1965,Chipping Sparrow,Spizella passerina,0,158.0,0.0,0.0,American Crow
8207,1965,Common Eider,Somateria mollissima,0,158.0,0.0,0.0,American Crow
8208,1965,Common Gallinule,Gallinula galeata,0,158.0,0.0,0.0,American Crow
8209,1965,Common Goldeneye,Bucephala clangula,180,158.0,1.139240506329114,191.3924050632912,American Crow
8210,1965,Common Grackle,Quiscalus quiscula,2,158.0,0.0126582278481012,2.1265822784810124,American Crow
8211,1965,Common Loon,Gavia immer,0,158.0,0.0,0.0,American Crow
8212,1965,Common Merganser,Mergus merganser,710,158.0,4.493670886075949,754.9367088607595,American Crow
8213,1965,Common Raven,Corvus corax,0,158.0,0.0,0.0,American Crow
8214,1965,Common Redpoll,Acanthis flammea,26,158.0,0.1645569620253164,27.645569620253163,American Crow
8215,1965,Common Snipe,Gallinago gallinago,0,158.0,0.0,0.0,American Crow
8216,1965,Common Yellowthroat,Geothlypis trichas,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8217,1965,Cooper's Hawk,Accipiter cooperii,2,158.0,0.0126582278481012,2.1265822784810124,American Crow
8218,1965,Dark-eyed Junco,Junco hyemalis,472,158.0,2.9873417721518987,501.8734177215189,American Crow
8219,1965,Double-crested Cormorant,Phalacrocorax auritus,0,158.0,0.0,0.0,American Crow
8220,1965,Downy Woodpecker,Picoides pubescens,98,158.0,0.620253164556962,104.20253164556962,American Crow
8221,1965,Dunlin,Calidris alpina,0,158.0,0.0,0.0,American Crow
8222,1965,Eared Grebe,Podiceps nigricollis,0,158.0,0.0,0.0,American Crow
8223,1965,Eastern Bluebird,Sialia sialis,0,158.0,0.0,0.0,American Crow
8224,1965,Eastern Meadowlark,Sturnella magna,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8225,1965,Eastern Phoebe,Sayornis phoebe,0,158.0,0.0,0.0,American Crow
8226,1965,Eastern Screech-Owl,Megascops asio,0,158.0,0.0,0.0,American Crow
8227,1965,Eastern Towhee,Pipilo erythrophthalmus,0,158.0,0.0,0.0,American Crow
8228,1965,European Starling,Sturnus vulgaris,3700,158.0,23.417721518987346,3934.177215189873,American Crow
8229,1965,Evening Grosbeak,Coccothraustes vespertinus,48,158.0,0.3037974683544304,51.03797468354431,American Crow
8230,1965,Field Sparrow,Spizella pusilla,12,158.0,0.0759493670886076,12.759493670886076,American Crow
8231,1965,Fox Sparrow,Passerella iliaca,0,158.0,0.0,0.0,American Crow
8232,1965,Franklin's Gull,Leucophaeus pipixcan,0,158.0,0.0,0.0,American Crow
8233,1965,Gadwall,Anas strepera,0,158.0,0.0,0.0,American Crow
8234,1965,Glaucous Gull,Larus hyperboreus,1,158.0,0.0063291139240506,1.0632911392405062,American Crow
8235,1965,Golden-crowned Kinglet,Regulus satrapa,20,158.0,0.1265822784810126,21.26582278481013,American Crow
8236,1965,Golden Eagle,Aquila chrysaetos,0,158.0,0.0,0.0,American Crow
